Country;Population
Afghanistan;29824536
Albania;2801681
Algeria;38481705
American Samoa;55128
Andorra;78360
Angola;20820525
Antigua and Barbuda;89069
Argentina;41086927
Armenia;2969081
Aruba;102384
Australia;22723900
Austria;8429991
Azerbaijan;9295784
Bahamas, The;371960
Bahrain;1317827
Bangladesh;154695368
Barbados;283221
Belarus;9464000
Belgium;11128246
Belize;324060
Benin;10050702
Bermuda;64798
Bhutan;741822
Bolivia;10496285
Bosnia and Herzegovina;3833916
Botswana;2003910
Brazil;198656019
Brunei Darussalam;412238
Bulgaria;7305888
Burkina Faso;16460141
Burundi;9849569
Cambodia;14864646
Cameroon;21699631
Canada;34754312
Cayman Islands;57570
Central African Republic;4525209
Chad;12448175
Chile;17464814
China;1350695000
Colombia;47704427
Comoros;717503
Congo, Dem. Rep.;65705093
Congo, Rep.;4337051
Costa Rica;4805295
Cote d'Ivoire;19839750
Croatia;4267558
Cuba;11270957
Curacao;152056
Cyprus;1128994
Czech Republic;10510785
Denmark;5591572
Djibouti;859652
Dominica;71684
Dominican Republic;10276621
Ecuador;15492264
Egypt, Arab Rep.;80721874
El Salvador;6297394
Equatorial Guinea;736296
Eritrea;6130922
Estonia;1325016
Ethiopia;91728849
Faeroe Islands;49506
Fiji;874742
Finland;5413971
France;65676758
French Polynesia;273814
Gabon;1632572
Gambia, The;1791225
Georgia;4490700
Germany;80425823
Ghana;25366462
Greece;11092771
Greenland;56810
Grenada;105483
Guam;162810
Guatemala;15082831
Guinea;11451273
Guinea-Bissau;1663558
Guyana;795369
Haiti;10173775
Honduras;7935846
Hong Kong SAR, China;7154600
Hungary;9920362
Iceland;320716
India;1236686732
Indonesia;246864191
Iran, Islamic Rep.;76424443
Iraq;32578209
Ireland;4586897
Isle of Man;85284
Israel;7910500
Italy;59539717
Jamaica;2707805
Japan;127561489
Jordan;6318000
Kazakhstan;16791425
Kenya;43178141
Kiribati;100786
Korea, Dem. Rep.;24763188
Korea, Rep.;50004441
Kosovo;1807106
Kuwait;3250496
Kyrgyz Republic;5607200
Lao PDR;6645827
Latvia;2034319
Lebanon;4424888
Lesotho;2051545
Liberia;4190435
Libya;6154623
Liechtenstein;36656
Lithuania;2987773
Luxembourg;530946
Macao SAR, China;556783
Macedonia, FYR;2105575
Madagascar;22293914
Malawi;15906483
Malaysia;29239927
Maldives;338442
Mali;14853572
Malta;419455
Marshall Islands;52555
Mauritania;3796141
Mauritius;1291167
Mexico;120847477
Micronesia, Fed. Sts.;103395
Moldova;3559519
Monaco;37579
Mongolia;2796484
Montenegro;621081
Morocco;32521143
Mozambique;25203395
Myanmar;52797319
Namibia;2259393
Nepal;27474377
Netherlands;16754962
New Caledonia;258000
New Zealand;4433000
Nicaragua;5991733
Niger;17157042
Nigeria;168833776
Norway;5018573
Oman;3314001
Pakistan;179160111
Panama;3802281
Papua New Guinea;7167010
Paraguay;6687361
Peru;29987800
Philippines;96706764
Poland;38535873
Portugal;10514844
Puerto Rico;3651545
Qatar;2050514
Romania;20076727
Russian Federation;143178000
Rwanda;11457801
Samoa;188889
San Marino;31247
Sao Tome and Principe;188098
Saudi Arabia;28287855
Senegal;13726021
Serbia;7199077
Seychelles;88303
Sierra Leone;5978727
Singapore;5312400
Sint Maarten (Dutch part);39088
Slovak Republic;5407579
Slovenia;2057159
Solomon Islands;549598
Somalia;10195134
South Africa;52274945
South Sudan;10837527
Spain;46761264
Sri Lanka;20328000
St. Kitts and Nevis;53584
St. Lucia;180870
St. Martin (French part);30959
St. Vincent and the Grenadines;109373
Sudan;37195349
Suriname;534541
Swaziland;1230985
Sweden;9519374
Switzerland;7996861
Syrian Arab Republic;22399254
Tajikistan;8008990
Tanzania;47783107
Thailand;66785001
Timor-Leste;1148958
Togo;6642928
Tonga;104941
Trinidad and Tobago;1337439
Tunisia;10777500
Turkey;73997128
Turkmenistan;5172931
Turks and Caicos Islands;32427
Uganda;36345860
Ukraine;45593300
United Arab Emirates;9205651
United Kingdom;63695687
United States;313873685
Uruguay;3395253
Uzbekistan;29774500
Vanuatu;247262
Venezuela, RB;29954782
Vietnam;88772900
Virgin Islands (U.S.);105275
Yemen, Rep.;23852409
Zambia;14075099
Zimbabwe;13724317
