Id,Human Development Index HDI-2014,Gini coefficient 2005-2013,Adolescent birth rate 15-19 per 100k 20102015,Birth registration funder age 5 2005-2013,Carbon dioxide emissionsAverage annual growth,Carbon dioxide emissions per capita 2011 Tones,Change forest percentable 1900 to 2012,Change mobile usage 2009 2014,Consumer price index 2013,Domestic credit provided by financial sector 2013,Domestic food price level 2009 2014 index,Domestic food price level 2009-2014 volitility index,Electrification rate or population,Expected years of schooling - Years,Exports and imports percentage GPD 2013,Female Suicide Rate 100k people,Foreign direct investment net inflows percentage GDP 2013,Forest area percentage of total land area 2012,Fossil fuels percentage of total 2012,Fresh water withdrawals 2005,Gender Inequality Index 2014,General government final consumption expenditure - Annual growth 2005 2013,General government final consumption expenditure - Perce of GDP 2005-2013,Gross domestic product GDP 2013,Gross domestic product GDP percapta,Gross fixed capital formation of GDP 2005-2013,Gross national income GNI per capita - 2011  Dollars,Homeless people due to natural disaster 2005 2014 per million people,Homicide rate per 100k people 2008-2012,Infant Mortality 2013 per thousands,International inbound tourists thausands 2013,International student mobility of total tetiary enrolvemnt 2013,Internet users percentage of population 2014,Intimate or nonintimate partner violence ever experienced 2001-2011,Life expectancy at birth- years,MaleSuicide Rate 100k people,Maternal mortality ratio deaths per 100 live births 2013,Mean years of schooling - Years,Mobile phone subscriptions per 100 people 2014,Natural resource depletion,Net migration rate per 1k people 2010-2015,Physicians per 10k people,Population affected by natural desasters average annual per million people 2005-2014,Population living on degraded land Percentage 2010,Population with at least some secondary education percent 2005-2013,Pre-primary 2008-2014,Primary-2008-2014,Primary school dropout rate 2008-2014,Prison population per 100k people,Private capital flows percentage GDP 2013,Public expenditure on education Percentange GDP,Public health expenditure percentage of GDP 2013,Pupil-teacher ratio primary school pupils per teacher 2008-2014,Refugees by country of origin,Remittances inflows percentual GDP 2013,Renewable sources percentage of total 2012,Research and development expenditure  2005-2012,Secondary 2008-2014,Share of seats in parliament percentage held by womand 2014,Stock of immigrants percentage of population 2013,Taxes on income profit and capital gain 205 2013,Tertiary -2008-2014,Total tax revenue of GDP 2005-2013,Tuberculosis rate per thousands 2012,Under-five Mortality 2013 thousands
Norway,0.94387728,26.83,7.834,100,0.778924806,9.192879069,11.91456737,5.22,104.1941748,86.95622227,1.51,11.3,100,17.49259,67.03594,5.2,0.5125554,27.97343321,57.27180466,0.75,0.067443002,1.815163573,21.85272015,317.4975867,62448.01762,22.6444755,64992.34046,0,2.2,2.3,4963,-3.37449,96.3,26.8,81.6,13,4,12.631,116.51,9.019499492,6,37.39,12.3478376,0.186818481,97.05961,98.85057,99.43699,1.51155,72,11.4674,6.552840233,9.573011,9.590636667,0.013,0.1544065,47.75267616,1.65474,111.0613,39.6449704,13.77262169,31.79839075,74.10112,27.28809691,0.14,2.8
Australia,0.93495825,34.01,12.059,100,1.090351403,16.51920992,-4.561812321,30.27,107.7894398,158.8407757,1.36,6.3,100,20.22107,40.99572,5.2,3.330412,19.19373104,95.36779752,3.93,0.110130103,-0.017409664,17.7467415,990.7210035,42831.06163,28.3274072,42260.61295,33.40661991,1.1,3.4,6382,17.13209,84.56,39.9,82.4,16.1,6,12.96338081,131.23,3.819851398,6.5,32.73,1337.393551,8.98454966,94.44895,107.77737,104.8384,6.118623333,130,-6.789013,5.110410213,8.998704,12.30300667,0.025,0.1579534,4.632201736,2.38562,135.53543,30.5309735,27.71179314,65.33374843,86.33409,21.361426,0.19,4
Switzerland,0.92961314,32.35,1.9,100,-1.101253915,4.625229924,8.567416409,16.72,99.3172293,173.4293156,1.35,6.6,100,15.79043,132.1828,5.1,-1.193327,31.61251139,51.07563775,12.31333333,0.027847645,1.447042892,10.96350675,442.0365935,54697.46682,23.4173357,56431.06833,0,0.6,3.6,8967,12.61502,87,39,83,13.6,6,12.82348463,140.54,0.013972937,8,39.38,73.08219091,0.4567513,95.74914,99.52254,102.79424,6.05644,82,12.6332,5.276949883,11.46621,10.7542,0.015,0.4594014,49.65939818,2.87046,96.30638,28.4552846,28.90699771,22.67329867,55.5619,9.759124063,0.22,4.2
Denmark,0.923327926,26.88,5.101,100,-1.767732957,7.248328717,23.02997397,1.83,106.0577185,199.6145024,1.31,6,100,18.68933,102.8064,4.1,0.4755334,12.91539005,70.58238697,10.75,0.048432247,-0.484064419,26.71585401,235.7224101,41990.51573,18.3244425,44025.48217,0,0.8,2.9,8557,8.32088,95.99,50,80.2,13.6,5,12.72938824,125.96,1.463290729,2.7,34.24,0,8.536134407,96.07674,101.75368,101.26672,1.11317,73,-0.124352,8.745690346,10.62326,12.30300667,0.01,0.4342917,26.76724503,2.98416,124.65927,37.9888268,9.909512135,39.6779382,79.59763,33.39565101,0.4,3.5
Netherlands,0.921793512,28.87,6.165,100,-0.25273377,10.06448974,5.92260219,-4.31,107.4741544,193.0112888,1.38,5.6,100,17.92333,155.5511,4.8,3.761942,10.82443654,91.44745084,11.65,0.062405981,-0.251702124,26.33518498,755.2590028,44944.59267,18.2463744,45435.1166,0,0.9,3.3,12800,5.42285,93.17,39.46666667,81.6,11.7,6,11.88930225,116.42,0.866811752,0.6,31.49,0.006033418,5.352625045,89.04594,90.89967,105.79075,6.05644,82,7.619826,5.930980206,12.8853,11.50226,0.063,0.1834062,6.671365641,2.15676,129.91277,36.8888889,11.72441763,23.53310361,77.34356,19.72405892,0.17,4
Germany,0.916079908,30.63,3.795,100,-0.739740093,8.917832846,3.293447369,-4.6,105.692141,113.5214346,1.54,5.6,100,16.45695,85.31842,4.1,1.374354,31.77827509,80.187836,20.95,0.040728955,0.726060184,19.26363598,3483.398236,43206.66066,19.7839458,43918.53597,0,0.8,3.2,31500,2.78761,86.19,40,80.9,14.5,7,13.06677702,120.42,0.076885776,1.3,38.06,10.09729788,8.085258727,96.64598,112.51651,100.46041,3.75764,79,6.659943,4.979529858,11.29719,11.71402,0.176,0.4233354,20.38880799,2.9191,101.2664,36.8571429,11.90093743,16.25383828,61.65019,11.51823703,0.35,3.9
Ireland,0.915541562,32.06,8.236,100,0.591211929,7.880759326,62.70967741,-2.26,104.8396802,186.0814086,1.23,3.3,100,18.56885,189.7978,5.2,21.52736,10.98272609,84.72883027,12.31333333,0.112931537,-0.037290291,17.4782253,206.4707637,44931.04202,15.1765979,39568.12085,0,1.2,3.2,8260,-3.8625,79.69,14.5,80.9,16.9,9,12.2,104.26,0.069177694,2.2,27.19,13.54171627,0.483991792,79.56229,52.436,104.41245,6.118623333,88,19.25707,6.154679775,8.921805,16.06046,0.009,0.3095776,6.405793703,1.72382,119.11933,19.9115044,15.89599092,37.82396011,71.24203,22.00695642,0.39,3.8
United States,0.914959354,41.12,31.001,100,-0.692444213,17.02021634,2.98213413,11.04,106.8338489,240.5464632,1,0,100,16.48,30.01294,5.2,1.75912,33.31951523,83.55005184,15.49,0.27997656,-1.322071182,15.19253821,16230.20875,51340.48763,19.3480478,52946.51344,14.93525005,4.7,5.9,69800,3.62564,87.36,35.6,79.1,19.4,28,12.94252883,98.41,0.958708867,3.1,24.52,5073.851216,1.09258942,94.98449,74.27443,98.13031,2.425216667,716,0.6691694,5.226019859,17.09764,14.42216,4.786,0.039927,16.29966924,2.79197,93.67395,19.4392523,14.30557337,53.18171451,94.2767,10.56589596,0.14,6.9
Canada,0.913178984,33.68,14.499,100,-0.40164638,14.13581338,1.17E-08,17.63,105.4522038,173.0548666,1.25,7.1,100,15.875,61.85041,4.8,3.873133,34.10498256,73.69457159,12.31333333,0.129227342,0.579248131,21.67536679,1472.925397,41894.09697,23.7232617,42155.00562,20.64102374,1.6,4.6,16600,3.809246667,87.12,6.4,82,14.9,11,13.00416198,82.98,2.412690401,6.3,20.68,363.9395819,2.682220681,99.99999,71.55781,98.30092,4.6367,118,-2.021756,5.272459984,10.8607,11.17668,0.107,0.0656526,27.89825014,1.72797,103.40475,28.1725888,20.70413929,51.64931625,63.46592333,11.53194769,0.19,5.2
New Zealand,0.913497656,28.76333333,25.309,100,1.115933201,7.124050867,6.893782372,3.07,106.7281728,153.9544664,1.96,8.7,100,19.15634,57.48594,5,-0.2743136,31.34024534,61.43322269,5.26,0.157201498,1.862379329,18.67254022,146.6764056,32807.64194,20.5684371,32689.36246,16.10972323,0.9,5.2,2629,14.02246,85.5,33.1,81.8,14.4,8,12.503,112.05,1.592807025,3.3,27.35,14225.89823,5.257356694,95.15481,91.71803,98.65525,2.48661,192,0.7918984,7.354410172,9.738794,14.58702,0.02,0.2471849,38.37153225,1.2709,119.54439,31.4049587,25.1417685,36.31131674,79.77627,29.2747283,0.08,6.3
Singapore,0.91179782,29.95,6.045,100,-2.261071479,4.320151436,-4.28571428,14.02,112.6459144,112.6365192,1.02,4,100,15.4,358.0301,5.3,21.40433,3.285714286,97.2071931,18.8,0.088129418,9.867089056,10.19173373,411.6176962,76236.79363,25.9031114,76628.2002,0,0.2,2.2,11900,10.32317,82,9.2,83,9.8,6,10.63,158.13,8.507764374,15,19.21,0,1.213150508,77.39491,93.06805,102.97902,1.32316,230,3.422649,2.935770035,4.554448,17.43929,0.067,1.0602678,2.792809886,2.09652,103.81467,25.2525253,42.9298763,34.71643602,40.76503,13.9680752,1.7,2.8
Hong KongåÊ,0.90995187,29.95,3.287,100,3.235980613,5.695268539,2.963996994,33.1,114.2999007,223.9537246,1.56,6.1,100,15.59681,458.3322,5.8,27.96901,41.15612683,94.77411774,18.8,0.05292207,2.323673844,9.31379399,370.2199556,51508.86339,23.8598482,53959.40794,0,0.4,3.033333333,25700,-1.69577,74.56,21,84,16.3,5,11.16091728,239.3,0.169852564,4.2,39.67,220.7459724,3.717895246,75.39537,101.2607,104.547,1.00286,128,21.13561,3.760329962,11.73887333,13.99258,0.025,0.1313263,0.385299726,0.74927,99.30344,34.69130023,38.93415952,36.18479242,66.83704,12.49966099,2.6,7.766666667
Liechtenstein,0.90750119,29.00333333,9.298333333,100,-0.739740093,1.410849731,6.153846154,6.85,106.4587666,118.052357,1.58,6.3,100,14.95308,108.0529733,5.8,-1.162423733,43.125,48.29271242,12.31333333,0.064252439,1.370024411,25.18935595,361.8304018,41064.7142,21.86767307,79851.02038,0,0,2.666666667,52,-16.77083,95.21,39.46666667,80,19.8,4.666666667,11.82895773,104.32,0.145505915,2.9,30.54333333,5.476724528,3.608516567,89.00031333,99.33511,103.828,20.60125,24,5.650038667,2.111560106,11.35393533,7.44361,0.014666667,0.271701567,55.98071977,2.643806667,110.37386,20,33.06161137,21.41171644,42.49668,12.4674263,0.153333333,5.066666667
Sweden,0.90681646,26.08,6.528,100,-2.336878496,5.518421481,4.141017565,14,103.8298247,138.0581507,1.46,6.7,100,15.81512,82.65676,6.1,-0.8831089,69.23700103,31.74427191,1.5,0.054730397,1.552129986,26.211759,419.5900083,43741.22844,22.1464987,45635.50431,0,0.7,2.4,5229,1.77553,92.52,46,82.2,16.2,4,12.09518337,127.84,0.252633899,4.2,32.65,0,0.322143905,86.89958,95.12268,101.53715,4.42096,67,-3.30291,6.819419861,9.710296,9.64567,0.016,0.2012968,70.53008497,3.40622,98.37527,43.5530086,15.87601432,9.763459908,70.02567,20.68098676,0.14,3
